Model,Data Regime,Samples Used,Validation Accuracy,Sample Efficiency
efficientnet_b0,100%,16800,0.9313795568263045,0.5543925933489908
efficientnet_b0,20%,3360,0.8527519656897784,2.537952278838626
efficientnet_b0,5%,840,0.7062187276626162,8.407365805507336
inception_v3,100%,16800,0.9099356683345247,0.5416283740086456
inception_v3,20%,3360,0.825589706933524,2.4571122230164404
inception_v3,5%,840,0.6104360257326662,7.267095544436502
resnet50,100%,16800,0.9320943531093638,0.5548180673270022
resnet50,20%,3360,0.8384560400285919,2.495404881037476
resnet50,5%,840,0.7326661901358112,8.722216549235847
